Date,AAPL,AMZN,MSFT,GM
2012-05-30,55.406948,209.229996,24.882488000000002,18.050362
2012-05-31,55.269192000000004,212.91000400000001,24.755281,17.913193
2012-06-01,53.66772099999999,208.220001,24.127708,17.759884
2012-06-04,53.983429,214.57000699999998,24.212513,17.03367
2012-06-05,53.843765000000005,213.210007,24.178593,17.146631
2012-06-06,54.669357,217.63999900000002,24.890968,17.614637
2012-06-07,54.694237,218.80000299999998,24.7892,17.630775
2012-06-08,55.51695600000001,218.479996,25.145395,17.792156
2012-06-11,54.641617000000004,216.5,24.509335,17.687258
2012-06-12,55.118995999999996,216.419998,24.840088,17.888979
2012-06-13,54.73631999999999,214.729996,24.704391,17.646912
2012-06-14,54.676064000000004,214.44999700000002,24.882488000000002,17.590427
2012-06-15,54.924778,218.350006,25.459175,17.542013
2012-06-18,56.039288,222.66000400000001,25.306528,17.291874
2012-06-19,56.195232,224.02999900000003,26.035873000000002,17.542013
2012-06-20,56.035472999999996,223.020004,26.230927,17.33222
2012-06-21,55.263435,220.57000699999998,25.560947,16.654425
2012-06-22,55.687241,222.16000400000001,26.035873000000002,16.622152
2012-06-25,54.603352,220.07000699999998,25.331966,16.065386
2012-06-26,54.723888,225.61000099999998,25.459175,16.016968
2012-06-27,54.960175,225.61999500000002,25.586389999999998,15.863663
2012-06-28,54.438801,221.309998,25.365891,15.992769000000001
2012-06-29,55.868995999999996,228.350006,25.942581,15.912078
2012-07-02,56.684093000000004,229.32000699999998,25.917143,15.791039999999999
2012-07-03,57.343227,229.52999900000003,26.086754,16.678632999999998
2012-07-05,58.350581999999996,227.059998,26.035873000000002,16.573733999999998
2012-07-06,57.962193000000006,225.05000299999998,25.60335,16.388149
2012-07-09,58.728485,225.05000299999998,25.442217000000003,16.315523000000002
2012-07-10,58.185085,219.5,25.221718,15.976626999999999
2012-07-11,57.823471,218.36999500000002,24.848568,16.05732
2012-07-12,57.294437,215.36000099999998,24.280354,15.597385999999998
2012-07-13,57.875130000000006,218.38999900000002,24.924894000000002,15.831385999999998
2012-07-16,58.060726,216.00999500000003,24.967299,15.637728
2012-07-17,58.063602,216.92999300000002,25.153873,15.815248
2012-07-18,57.998535,217.47000099999997,25.823853,16.194492
2012-07-19,58.769611,226.169998,26.010429000000002,16.250975
2012-07-20,57.811035,228.289993,25.543982999999997,15.621592000000001
2012-07-23,57.766068000000004,226.00999500000003,24.831604000000002,15.573179999999999
2012-07-24,57.487686,223.039993,24.721354,15.347244
2012-07-25,55.00515,217.05000299999998,24.449972,15.16973
2012-07-26,54.996548,220.00999500000003,24.729832000000002,15.419866
2012-07-27,55.979977000000005,237.32000699999998,25.238676,15.87173
2012-07-30,56.924209999999995,236.08999599999999,25.136909,15.621592000000001
2012-07-31,58.429028,233.30000299999998,24.992739,15.904007
2012-08-01,58.051155,232.08999599999999,24.941854,15.863663
2012-08-02,58.144913,230.809998,24.755281,15.444075
2012-08-03,58.901623,234.97000099999997,25.230202,16.170288
2012-08-06,59.556927,233.99000499999997,25.399818,16.016968
2012-08-07,59.400063,236.559998,25.66272,16.47691
2012-08-08,59.299603000000005,234.38000499999998,25.722084,16.44463
2012-08-09,61.21474499999999,234.059998,25.866255,16.662495
2012-08-10,61.31041,232.75,25.798414,16.573733999999998
2012-08-13,62.128941000000005,232.440002,25.772966,16.517252
2012-08-14,62.295586,233.190002,25.721748,16.307457
2012-08-15,62.210777,237.419998,25.781504,16.250975
2012-08-16,62.754169,241.55000299999998,26.276651,17.211187
2012-08-17,63.914894,241.169998,26.379087,17.759884
2012-08-20,65.595337,240.350006,26.2425,17.646912
2012-08-21,64.698898,239.44999700000002,26.293718,17.453257
2012-08-22,65.96219599999999,243.100006,26.071764,17.533945000000003
2012-08-23,65.346809,241.19999700000002,25.832727,17.219257
2012-08-24,65.404999,245.74000499999997,26.08884,17.090151000000002
2012-08-27,66.633759,243.919998,26.199818,17.122427
2012-08-28,66.54699699999999,246.11000099999998,26.148592,16.896494
2012-08-29,66.415825,247.11999500000002,26.165663000000002,17.186981
2012-08-30,65.469116,246.22000099999997,25.883945,17.03367
2012-08-31,65.604202,248.270004,26.310793,17.227322
2012-09-04,66.563766,247.88000499999998,25.943704999999998,17.195048999999997
2012-09-05,66.096298,246.22000099999997,25.943704999999998,17.558153
2012-09-06,66.691956,251.38000499999998,26.763247999999997,18.114916
2012-09-07,67.103195,259.140015,26.421776,18.85726
2012-09-10,65.357651,257.089996,26.225428000000004,18.542572
2012-09-11,65.14563000000001,255.669998,26.285177,18.534502
2012-09-12,66.052933,255.63000499999998,26.276651,18.663609
2012-09-13,67.35367600000001,260.23999,26.413233,18.986366
2012-09-14,68.172195,261.269989,26.643738,19.478579999999997
2012-09-17,69.010452,258.0,26.643738,19.204231
2012-09-18,69.220528,258.75,26.618123999999998,19.712576000000002
2012-09-19,69.23925,261.679993,26.507134999999998,19.970781
2012-09-20,68.903931,260.809998,26.848615999999996,19.704512
2012-09-21,69.041031,257.47000099999997,26.626661,20.011127
2012-09-24,68.123886,254.80000299999998,26.276651,19.656095999999998
2012-09-25,66.422737,252.460007,25.943704999999998,18.9783
2012-09-26,65.59828900000001,249.669998,25.755894,18.873404
2012-09-27,67.18995699999999,256.589996,25.747356,18.703951
2012-09-28,65.787643,254.32000699999998,25.405874,18.356985
2012-10-01,65.027298,252.00999500000003,25.175380999999998,18.63133
2012-10-02,65.216637,250.600006,25.320513000000002,19.107403
2012-10-03,66.216614,255.919998,25.491249,19.680298
2012-10-04,65.758041,260.47000099999997,25.636377,19.890097
